country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,,,2020-02-15,6,2,15,3,2,
US,United States,,,2020-02-16,7,1,16,2,0,
US,United States,,,2020-02-17,6,0,28,-9,-24,
US,United States,,,2020-02-18,0,-1,6,1,0,
US,United States,,,2020-02-19,2,0,8,1,1,
US,United States,,,2020-02-20,1,0,4,0,0,
US,United States,,,2020-02-21,2,-2,4,1,0,
US,United States,,,2020-02-22,7,3,23,5,4,
US,United States,,,2020-02-23,7,3,23,5,2,
US,United States,,,2020-02-24,2,1,9,1,3,
US,United States,,,2020-02-25,4,1,9,2,2,
US,United States,,,2020-02-26,7,2,5,3,2,
US,United States,,,2020-02-27,8,3,12,4,2,
US,United States,,,2020-02-28,8,3,10,5,2,
US,United States,,,2020-02-29,12,7,21,7,4,
US,United States,,,2020-03-01,13,9,18,7,3,
US,United States,,,2020-03-02,7,6,10,2,3,
US,United States,,,2020-03-03,11,10,20,3,2,
US,United States,,,2020-03-04,8,6,17,2,3,
US,United States,,,2020-03-05,8,7,21,2,3,
US,United States,,,2020-03-06,5,3,12,2,2,
US,United States,,,2020-03-07,10,8,29,7,5,
US,United States,,,2020-03-08,10,7,40,5,2,
US,United States,,,2020-03-09,6,6,31,-1,0,
US,United States,,,2020-03-10,6,7,18,-3,-2,
US,United States,,,2020-03-11,8,10,26,-2,-1,
US,United States,,,2020-03-12,6,23,19,-6,-3,
US,United States,,,2020-03-13,2,26,4,-10,-7,
US,United States,,,2020-03-14,-6,18,3,-10,-1,
US,United States,,,2020-03-15,-9,12,5,-13,-7,
US,United States,,,2020-03-16,-8,21,-1,-22,-20,
US,United States,,,2020-03-17,-18,14,8,-26,-27,
US,United States,,,2020-03-18,-24,8,6,-30,-31,
US,United States,,,2020-03-19,-28,7,2,-36,-33,
US,United States,,,2020-03-20,-32,5,-2,-37,-36,
US,United States,,,2020-03-21,-40,-2,-3,-36,-24,
US,United States,,,2020-03-22,-44,-13,-12,-44,-31,
US,United States,,,2020-03-23,-38,-10,-23,-47,-41,
US,United States,,,2020-03-24,-39,-12,-10,-46,-45,
US,United States,,,2020-03-25,-40,-15,-7,-47,-46,
US,United States,,,2020-03-26,-40,-14,3,-48,-47,
US,United States,,,2020-03-27,-42,-16,-7,-49,-46,
US,United States,,,2020-03-28,-48,-19,-25,-49,-34,
US,United States,,,2020-03-29,-47,-22,-19,-51,-38,
US,United States,,,2020-03-30,-40,-18,-15,-50,-48,
US,United States,,,2020-03-31,-40,-16,-16,-49,-49,
US,United States,,,2020-04-01,-37,-11,-7,-48,-49,
US,United States,,,2020-04-02,-40,-11,-9,-51,-50,
US,United States,,,2020-04-03,-42,-12,-21,-51,-50,
US,United States,,,2020-04-04,-48,-15,-24,-50,-37,
US,United States,,,2020-04-05,-49,-20,-20,-54,-40,
US,United States,,,2020-04-06,-42,-16,-10,-52,-50,
US,United States,,,2020-04-07,-42,-14,-2,-51,-51,
US,United States,,,2020-04-08,-42,-15,-6,-51,-51,
US,United States,,,2020-04-09,-43,-13,-21,-54,-52,
US,United States,,,2020-04-10,-43,-13,-21,-54,-56,
US,United States,,,2020-04-11,-45,-7,-16,-49,-38,
US,United States,,,2020-04-12,-63,-39,-36,-56,-45,
US,United States,,,2020-04-13,-45,-22,-31,-55,-51,
US,United States,,,2020-04-14,-40,-16,-15,-50,-50,
US,United States,,,2020-04-15,-36,-13,-16,-49,-49,
US,United States,,,2020-04-16,-39,-13,-14,-50,-49,
US,United States,,,2020-04-17,-42,-17,-22,-51,-48,
US,United States,,,2020-04-18,-45,-15,-20,-47,-33,
US,United States,,,2020-04-19,-45,-19,-10,-50,-37,
US,United States,,,2020-04-20,-39,-16,-7,-49,-48,
US,United States,,,2020-04-21,-38,-14,-8,-49,-49,
US,United States,,,2020-04-22,-38,-14,-9,-48,-49,
US,United States,,,2020-04-23,-40,-14,-14,-50,-49,
US,United States,,,2020-04-24,-40,-16,-14,-50,-48,
US,United States,,,2020-04-25,-41,-11,2,-42,-32,
US,United States,,,2020-04-26,-42,-16,-11,-48,-36,
US,United States,,,2020-04-27,-35,-13,-4,-48,-46,
US,United States,,,2020-04-28,-34,-10,6,-45,-48,
US,United States,,,2020-04-29,-34,-11,-7,-46,-47,
US,United States,,,2020-04-30,-34,-9,-7,-47,-47,
US,United States,,,2020-05-01,-32,-7,7,-43,-45,
US,United States,,,2020-05-02,-34,-4,28,-35,-29,
US,United States,,,2020-05-03,-34,-8,22,-40,-31,
US,United States,,,2020-05-04,-29,-7,5,-44,-44,
US,United States,,,2020-05-05,-28,-3,5,-43,-45,
US,United States,,,2020-05-06,-29,-6,6,-43,-44,
US,United States,,,2020-05-07,-29,-3,21,-42,-44,
US,United States,,,2020-05-08,-32,-5,-2,-43,-43,
US,United States,,,2020-05-09,-30,7,9,-35,-26,
US,United States,,,2020-05-10,-30,1,6,-37,-27,
US,United States,,,2020-05-11,-31,-11,-3,-44,-42,
US,United States,,,2020-05-12,-28,-6,10,-41,-43,
US,United States,,,2020-05-13,-26,-5,18,-40,-42,
US,United States,,,2020-05-14,-28,-5,17,-42,-43,
US,United States,,,2020-05-15,-29,-7,21,-40,-42,
US,United States,,,2020-05-16,-30,-3,32,-34,-24,
US,United States,,,2020-05-17,-30,-8,17,-39,-25,
US,United States,,,2020-05-18,-26,-8,2,-43,-40,
US,United States,,,2020-05-19,-24,-4,15,-40,-41,
US,United States,,,2020-05-20,-22,-3,23,-38,-41,
US,United States,,,2020-05-21,-22,-1,31,-37,-41,
US,United States,,,2020-05-22,-24,-2,31,-36,-41,
US,United States,,,2020-05-23,-27,0,43,-30,-21,
US,United States,,,2020-05-24,-25,-2,57,-33,-24,
US,United States,,,2020-05-25,-28,-8,60,-48,-72,
